Indent	Cycle	Max.	Plastic	Max.				Contact	Plastic	Elastic	Fit
		Depth	Depth	Load	Hardness	Er	ERP	Compliance	Work	Work	MSE
		(nm)	(nm)	(mN)	(GPa)	(GPa)		(nm/mN)	(nJ)	(nJ)
14	4	1633.634164	1361.345895	500.249939	3.244455	95.108899	0.200014	0.725739	181.621740	121.703276	1.316244
15	1	477.489155	361.821535	92.559036	15.781120	212.398862	0.319681	1.666218	3.171761	17.538864	0.213554
15	2	929.983868	734.075219	238.651733	12.262792	177.504363	0.266878	1.094530	7.474521	83.919208	0.599896
15	3	1377.703827	1124.547004	398.038269	5.970875	123.787678	0.225119	0.848015	26.087142	201.543747	1.083258
15	4	1699.877174	1439.807029	500.249939	2.488715	87.211999	0.180628	0.693174	241.648340	112.379326	1.446851
16	1	486.540994	376.658316	81.991341	12.956183	190.668502	0.291730	1.786899	3.045499	15.488368	0.209394
16	2	939.662449	766.153501	220.068085	10.389430	177.148785	0.226468	1.051244	6.450214	76.840750	0.498568
16	3	1376.845547	1137.759958	415.094421	5.939603	133.500966	0.210137	0.767972	10.705532	208.654754	0.993537
16	4	1543.689692	1281.575593	500.249969	4.284374	113.535712	0.204525	0.698622	173.241785	117.080570	1.133672
17	1	478.240897	368.745594	84.079559	13.827384	200.172956	0.296940	1.736376	3.323768	15.664954	0.201962
17	2	931.741196	730.990865	230.514023	11.940195	167.990137	0.274628	1.161175	6.835047	81.133097	0.470104
17	3	1393.897873	1141.961969	406.756500	5.733467	123.217251	0.220617	0.825837	23.103446	208.210432	1.080770
17	4	1596.092150	1320.943361	500.249939	3.731596	100.938981	0.208297	0.733364	187.096319	116.097641	1.369650
18	1	483.716753	378.141164	74.335739	11.660624	179.259378	0.279196	1.893671	3.571823	13.705650	0.231173
18	2	944.163235	781.248321	198.266754	8.986760	166.552576	0.208532	1.095594	6.547843	68.801563	0.542678
18	3	1388.533785	1149.542308	384.015991	5.268044	120.976937	0.207901	0.829797	6.660981	194.486067	1.034322
18	4	1642.933822	1368.540704	500.249939	3.165338	93.221483	0.200501	0.731349	195.211218	116.605204	1.067458
19	1	483.992317	369.083873	79.427643	13.039706	180.033555	0.311334	1.928941	2.299155	15.001158	0.129723
19	2	946.117758	787.769210	193.117645	8.599120	165.428204	0.201009	1.093279	10.214236	66.967245	0.495130
19	3	1404.588404	1196.949646	357.017609	4.132629	118.914622	0.173473	0.775457	20.208967	177.733933	0.961755
19	4	1700.808196	1450.353879	500.249939	2.403280	88.992381	0.172685	0.667544	203.592160	106.431599	1.573804
20	1	482.206583	355.622074	82.132622	14.476932	175.106075	0.355952	2.054961	1.748342	15.911742	0.107316
20	2	929.467317	735.845572	230.694321	11.799280	173.211905	0.263128	1.119067	3.014741	81.326831	0.559869
20	3	1378.693034	1116.481798	452.363525	6.983839	137.792401	0.234855	0.772863	7.948870	232.060679	1.031588
20	4	1451.119598	1173.997452	500.249939	6.286912	130.084825	0.236050	0.738623	154.837441	117.017778	1.206646
21	1	478.102207	371.872088	86.694481	14.031979	211.053805	0.285663	1.633785	3.732654	16.102429	0.272472
21	2	937.495729	768.422418	218.662537	10.260483	180.086722	0.220027	1.030954	12.238677	75.253339	0.564903
21	3	1369.415984	1116.837354	425.526459	6.561193	134.475683	0.226155	0.791423	1.856896	215.222053	1.225713
21	4	1534.759594	1261.869863	500.249939	4.593719	112.920862	0.216258	0.727342	182.785383	114.268122	1.292513
22	1	483.497250	386.827576	83.374496	12.539881	215.010040	0.249904	1.545951	4.599473	15.237021	0.213951
22	2	954.373143	816.045702	202.055801	8.317497	190.506291	0.169509	0.912800	13.621892	68.168216	0.913721
22	3	1390.905724	1202.184327	366.299713	4.161347	132.984114	0.156982	0.686947	14.739128	178.200578	1.313575
22	4	1692.767556	1467.063947	500.249939	2.274711	96.073548	0.153847	0.601576	213.380346	100.933554	1.765805
23	1	483.471404	377.633957	78.578102	12.356994	189.257671	0.280265	1.795877	2.701062	14.761963	0.212014
23	2	975.149590	836.063166	165.677979	6.441384	150.981208	0.166359	1.119331	22.274270	57.548432	0.610167
23	3	1407.817925	1206.992326	328.002930	3.662706	110.944687	0.166385	0.816357	6.229432	162.803762	0.968981
23	4	1883.712677	1663.878159	471.323273	1.161472	68.415370	0.132122	0.621893	262.044503	94.063968	1.708218
24	1	478.984932	364.116797	82.722458	13.934629	189.996460	0.315471	1.851462	2.689409	15.599540	0.209742
24	2	945.631048	773.682687	224.000946	10.363292	180.119788	0.222247	1.023498	8.471998	78.131091	0.641851
24	3	1374.009543	1133.695212	422.977844	6.141005	136.327829	0.211974	0.757532	6.304634	212.344356	1.220261
24	4	1517.962377	1254.164238	500.249939	4.721086	118.420912	0.210338	0.703110	169.132932	114.784985	1.488045
25	1	476.917933	350.202740	92.657921	16.826788	200.308262	0.361834	1.823412	2.602418	17.882672	0.147777
25	2	930.467318	735.581111	237.566986	12.159187	177.275971	0.264942	1.093790	9.118020	83.843472	0.586486
25	3	1375.367154	1126.212537	419.979095	6.262656	132.315236	0.221232	0.791006	23.469275	212.309257	1.196757
25	4	1508.215324	1234.863161	500.249939	5.056774	118.275133	0.221362	0.728575	163.902658	114.554336	1.409087
26	1	486.825370	371.553974	94.115341	15.257661	211.318879	0.310241	1.633051	3.925477	17.953787	0.278835
26	2	947.002859	769.342258	221.135620	10.350938	173.106647	0.230925	1.071201	15.991957	77.767983	0.648481
26	3	1385.648319	1154.571444	383.570465	5.168017	123.855053	0.200141	0.803249	20.174416	192.195875	0.952475
26	4	1655.982578	1399.573457	500.249908	2.847981	94.626815	0.183205	0.683416	207.663409	108.034217	1.480465
27	1	475.153750	353.684404	100.437576	17.891786	224.333399	0.343440	1.612535	3.341438	18.877236	0.259484
27	2	939.060161	742.903146	231.826904	11.640161	170.232796	0.264041	1.128181	14.696042	82.407174	0.543584
27	3	1370.790840	1101.012951	433.659973	7.073925	131.972728	0.245027	0.829461	7.418021	221.471627	0.913319
27	4	1510.185121	1225.303248	500.249969	5.232223	115.440316	0.232499	0.759305	170.199065	120.654316	1.038798
28	1	490.101644	390.917083	70.734543	10.435620	176.082622	0.253723	1.869611	3.699061	13.201859	0.261903
28	2	953.246671	790.881615	182.595276	8.061536	151.896146	0.205296	1.185610	7.202375	63.809015	0.643753
28	3	1449.486121	1237.952692	295.918335	2.958531	89.914691	0.170874	0.953116	34.980937	152.753278	0.781822
28	4	1875.853893	1609.853230	437.711243	1.267909	56.929952	0.165233	0.810277	212.781684	101.679731	1.008383
29	1	484.130117	375.093880	81.964478	13.053192	192.835067	0.290691	1.773715	3.728550	15.496439	0.151544
29	2	938.180270	762.640333	214.349747	10.214951	171.352071	0.230174	1.091922	7.913691	75.048149	0.602303
29	3	1387.562098	1139.380300	391.854553	5.574663	121.056328	0.217822	0.844469	13.846035	200.299314	1.009059
29	4	1656.760268	1385.973188	500.249908	2.982440	91.693191	0.195377	0.721738	204.317960	118.601419	1.530889
30	1	485.449535	378.430464	81.165176	12.713784	192.950882	0.282797	1.758046	4.321350	15.330771	0.210816
30	2	944.910225	778.323450	206.199097	9.420775	170.071620	0.214033	1.077190	7.037771	71.370939	0.541978
30	3	1380.880649	1133.610750	394.114777	5.723684	123.470610	0.218126	0.836541	3.489424	199.497391	1.101136
30	4	1573.426178	1287.878854	500.249939	4.190202	103.066749	0.221719	0.761079	171.844007	119.268166	1.566858
31	1	480.821937	378.988329	86.193878	13.464490	215.044185	0.268699	1.575264	3.674464	15.751405	0.272528
31	2	936.608274	771.693249	225.666153	10.496445	189.705432	0.213705	0.974389	7.260778	77.684339	0.687278
31	3	1371.954712	1140.220940	422.266632	5.989280	139.500900	0.203236	0.731714	8.854542	210.264841	1.300334
31	4	1557.248318	1306.698937	500.249939	3.922099	113.643640	0.191742	0.667798	195.354045	105.213460	1.453877
32	1	480.168832	350.469518	104.144600	18.884700	219.796821	0.370073	1.660503	3.562386	20.281139	0.197123
32	2	933.643931	755.915414	230.328552	11.174609	183.492620	0.235117	1.028841	16.507628	79.952962	0.542071
32	3	1387.089762	1175.880365	385.581726	4.813225	131.113905	0.179618	0.730358	26.575392	191.264861	1.253021
32	4	1603.830524	1355.362036	500.249939	3.311937	105.304986	0.183323	0.662252	188.174230	103.919137	1.560811
33	1	477.017623	364.782192	90.741783	15.232390	212.933192	0.307678	1.649155	3.142019	16.733967	0.262039
33	2	938.381959	768.690394	222.794907	10.446874	182.755816	0.220754	1.015532	10.288217	76.990151	0.657288
33	3	1386.555381	1174.928053	384.886200	4.820968	130.842015	0.180119	0.733125	22.449692	190.005689	1.257235
33	4	1593.310273	1338.019827	500.249939	3.516478	105.608426	0.190797	0.680434	177.302261	107.702619	1.569326
34	1	472.371796	342.060941	113.174942	21.525287	243.475176	0.380958	1.535214	3.412108	21.651729	0.304367
34	2	919.177361	707.979797	261.095612	14.352931	186.323161	0.298310	1.078520	12.873841	92.479842	0.476191
34	3	1356.696393	1091.507283	448.068115	7.559608	141.075508	0.242957	0.789133	22.243809	226.702597	1.053984
34	4	1445.207464	1173.429072	500.249939	6.299731	132.777736	0.231610	0.724380	158.776610	115.496964	1.416645
35	1	473.709184	360.617308	103.973000	17.840778	244.805651	0.313606	1.450272	3.371806	19.379125	0.303191
35	2	924.918281	730.782864	272.587311	14.127156	205.475993	0.265654	0.949594	8.258502	95.179149	0.693159
35	3	1362.040693	1110.726762	457.565186	7.210455	146.918644	0.226261	0.732322	32.537658	229.627080	1.294479
35	4	1435.797240	1171.522372	500.249939	6.342925	137.014996	0.225582	0.704381	160.150963	108.672602	1.376195
